Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,10/12/2024,5105964939,Purcell Architecture Limited,"£241,080.51"
Manchester City Council,1001,Libraries and Theatres,Works and associated costs for Land and Buildings,20/12/2024,5105965657,Robertson CE Limited,"£232,778.62"
Manchester City Council,1013,Highways Services,Electricity,12/12/2024,1908671175,Haven Power Ltd,"£231,964.24"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,16/12/2024,5105964971,EQUANS Regeneration Limited,"£229,414.65"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,02/01/2025,5105966474,Alined Construction Ltd,"£222,345.54"
Manchester City Council,1007,Corporate Services,Rents,02/01/2025,1908675666,Knight Frank LLP,"£220,382.00"
Manchester City Council,1000,Manchester Leisure,Rents,18/12/2024,5105966824,Mack Residential Letting Ltd,"£211,661.64"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,16/12/2024,5105966134,New Bridge School,"£209,550.76"
Manchester City Council,1000,Manchester Leisure,Special Event,02/01/2025,5105968038,British Cycling Events Limited,"£200,000.00"
Manchester City Council,1005,Adult Social Care,Payments for services,11/12/2024,5105965329,Standwalk Ltd,"£195,032.17"
Manchester City Council,1003,Environment and Operations,Construction Works,20/12/2024,5105965300,Rosgal Ltd,"£194,783.01"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Fees,20/12/2024,5105965322,Emanuel Whittaker Ltd,"£185,926.55"
Manchester City Council,1010,Housing Revenue Account,CD - Acquisition,16/12/2024,1908674385,Read Roper and Read T/A LPL,"£182,000.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,16/12/2024,1908673743,Zeno Ltd,"£171,692.80"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,19/12/2024,5105967097,Westfield Minibuses,"£171,651.00"
Manchester City Council,1010,Housing Revenue Account,Professional fees,18/12/2024,5105967021,One Manchester Limited,"£171,149.32"
Manchester City Council,1004,Childrens & Education Services,Grant and subscriptions awarded,23/12/2024,5105967859,Rochdale MBC,"£170,889.00"
Manchester City Council,1004,Childrens & Education Services,Grant and subscriptions awarded,23/12/2024,5105967858,Rochdale MBC,"£170,889.00"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,02/01/2025,5105967901,Warden Construction Ltd,"£169,214.24"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,05/12/2024,5105964240,Edstart Specialist Education Ltd,"£168,566.67"
Manchester City Council,1000,Manchester Leisure,Rents,18/12/2024,5105966830,Manchester Bumblebee Ltd,"£168,229.29"
Manchester City Council,1011,Chief Executives,Vehicle Plant Furniture and Equipment,31/12/2024,5105966220,XMA Limited,"£165,063.63"
Manchester City Council,1010,Housing Revenue Account,Works and associated costs for Land and Buildings,19/12/2024,5105966061,Holden Building Solutions Ltd,"£162,798.14"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,13/12/2024,5105965960,Trafford College,"£160,902.87"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,15/01/2025,5105966688,Change Grow Live Services Ltd,"£159,858.70"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963866,Mace Ltd,"£153,989.00"
Manchester City Council,1007,Corporate Services,Elec Car Lease,16/12/2024,1908673390,Northumbria Healthcare NHS FT,"£152,151.40"
Manchester City Council,1000,Manchester Leisure,Professional Fees,16/12/2024,5105966218,Fieldway Supplies Ltd,"£151,509.80"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963878,Mace Ltd,"£150,221.00"
Manchester City Council,,Not assigned,Refund AR overpaids,18/12/2024,1908676834,ISLAND SITE (GENERAL PARTNER) LTD,"£150,000.00"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,23/12/2024,5105965885,Change Grow Live Services Ltd,"£143,766.97"
Manchester City Council,1007,Corporate Services,Payments to Contractors,16/12/2024,5105965032,NSL Ltd,"£142,524.68"
Manchester City Council,1007,Corporate Services,Security,12/12/2024,5105965438,MITIE SECURITY LIMITED,"£141,548.71"
Manchester City Council,1007,Corporate Services,Security,02/01/2025,5105968020,MITIE SECURITY LIMITED,"£141,548.71"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963876,Mace Ltd,"£140,934.00"
Manchester City Council,1007,Corporate Services,Security,16/12/2024,5105965478,MITIE SECURITY LIMITED,"£140,897.97"
Manchester City Council,1007,Corporate Services,Security,17/12/2024,5105966729,MITIE SECURITY LIMITED,"£140,462.95"
Manchester City Council,1006,Childrens Services,Building Works,18/12/2024,5105966857,Abraham Moss Comm. School Academy,"£139,636.30"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963865,Mace Ltd,"£138,418.00"
Manchester City Council,1000,Manchester Leisure,Rents,18/12/2024,5105967035,VSPG Housing 2 Ltd,"£138,350.91"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,20/12/2024,5105965753,Warden Construction Ltd,"£137,350.48"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,18/12/2024,5105966875,Redacted Personal Information,"£134,023.52"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,12/12/2024,5105965826,NHS GREATER MANCHESTER ICB,"£132,244.95"
Manchester City Council,1001,Libraries and Theatres,Works and associated costs for Land and Buildings,18/12/2024,5105965204,Conlon Construction Ltd,"£128,611.52"
Manchester City Council,1003,Environment and Operations,Construction Works,02/01/2025,5105967363,Rosgal Ltd,"£127,658.97"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963839,Mace Ltd,"£127,597.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,20/12/2024,5105965715,Kier Construction North and,"£127,053.96"
Manchester City Council,1000,Manchester Leisure,Tipping - Tonnage,13/01/2025,5105967173,Redgate Holdings Ltd,"£126,906.90"
Manchester City Council,1007,Corporate Services,Internal Repairs and Maintenance for buildings,16/12/2024,5105964847,EQUANS Services Limited,"£125,968.69"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,19/12/2024,5105966610,EQUANS Regeneration Limited,"£124,439.59"
Manchester City Council,1002,Hospitality + Trading Services,Refuse Collection,12/12/2024,5105964717,Biffa Municipal Limited,"£123,720.34"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,06/12/2024,1908663077,Great Minds Together Ltd,"£123,000.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,06/12/2024,1908663078,Great Minds Together Ltd,"£123,000.00"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,16/12/2024,5105966148,Greater Manchester Mental Health,"£121,572.30"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679673,Springcare (Wythenshaw) LTD,"£119,816.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,16/12/2024,1908673743,Zeno Ltd,"£119,610.24"
Manchester City Council,1012,Regeneration Finance,Rents,11/12/2024,1908661809,Helix Property Advisors Ltd,"£117,987.04"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,17/12/2024,5105966437,P Casey & Co Ltd,"£117,459.48"
Manchester City Council,1000,Manchester Leisure,Bed & Breakfast Acc,16/12/2024,5105964468,T15 Consultancy Ltd,"£117,445.71"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,11/12/2024,5105964675,Nacro,"£117,306.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,17/12/2024,5105966716,24x7 Ltd,"£113,213.61"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963860,Mace Ltd,"£111,224.00"
Manchester City Council,1000,Manchester Leisure,Rents,18/12/2024,5105966825,VSPG Housing Ltd,"£111,109.50"
Manchester City Council,1000,Manchester Leisure,Works and associated costs for Land and Buildings,10/12/2024,5105964884,Greenwich Leisure Limited,"£110,905.86"
Manchester City Council,1000,Manchester Leisure,Special Event,24/12/2024,5105967854,Blachere Illuminations Uk Ltd,"£108,896.76"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963859,Mace Ltd,"£106,482.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,06/12/2024,1908663017,Enabling Futures Ltd,"£105,150.15"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,03/12/2024,5105963986,Warden Construction Ltd,"£104,139.05"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963835,Mace Ltd,"£102,465.00"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105964236,Mace Ltd,"£101,660.00"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,19/12/2024,5105967159,P Casey & Co Ltd,"£100,344.72"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,17/12/2024,5105965359,Faithful & Gould Ltd,"£100,285.55"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,04/12/2024,5105963962,The Depaul Trust,"£100,000.00"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,02/01/2025,5105968142,Riverside ECHG,"£99,524.00"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,18/12/2024,5105966104,Riverside ECHG,"£99,524.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,11/12/2024,5105965226,The Big Life Company,"£99,110.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,16/12/2024,5105964656,M Travel,"£98,418.50"
Manchester City Council,1004,Childrens & Education Services,Private Finance and Public Private partnership initiatives,16/12/2024,5105964003,NU3PS,"£95,713.62"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,19/12/2024,5105967197,EQUANS Regeneration Limited,"£95,510.59"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,02/01/2025,5105967967,Navigators College,"£95,304.68"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,19/12/2024,5105967219,New Bridge School,"£95,294.48"
Manchester City Council,1007,Corporate Services,Electricity,12/12/2024,1908671062,M\cr Heat Network Supply Co Ltd,"£94,926.78"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,19/12/2024,5105965180,Biffa Municipal Limited,"£93,500.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679579,Enabling Futures Ltd,"£92,230.28"
Manchester City Council,1000,Manchester Leisure,Rents,16/12/2024,5105966306,Accommodation Links Ltd,"£92,010.43"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,04/12/2024,5105964184,Vital Energi Solutions Ltd,"£91,243.15"
Manchester City Council,1006,Childrens Services,Building Works,23/12/2024,5105966973,Levenshulme High School (Academy),"£90,414.32"
Manchester City Council,1000,Manchester Leisure,Payments for services,13/12/2024,5105964231,Manchester Active,"£90,000.00"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963837,Mace Ltd,"£89,034.00"
Manchester City Council,1000,Manchester Leisure,Bed & Breakfast Acc,05/12/2024,5105964367,MJ Rental Ltd,"£88,408.59"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963863,Mace Ltd,"£88,129.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,06/12/2024,1908663019,Enabling Futures Ltd,"£88,078.41"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,23/12/2024,5105965906,R Development Ltd,"£87,627.12"
Manchester City Council,1005,Adult Social Care,Temp Care - Nursing,20/12/2024,1908679673,Springcare (Wythenshaw) LTD,"£87,205.32"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,13/01/2025,5105967438,Kaberry Construction Ltd,"£85,161.97"
Manchester City Council,1011,Chief Executives,Third party payments relating to Voluntary Organisations,17/12/2024,5105964368,The Bridgewater Hall,"£84,245.25"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963862,Mace Ltd,"£83,897.00"
Manchester City Council,1005,Adult Social Care,Temp Care - Nursing,20/12/2024,1908679700,Serence HC UK Ltd,"£83,746.32"
Manchester City Council,1000,Manchester Leisure,Professional Fees,12/12/2024,5105965446,Redacted Personal Information,"£83,201.34"
Manchester City Council,1000,Manchester Leisure,Rents,16/12/2024,5105966307,Accommodation Links Ltd,"£82,474.00"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963852,Mace Ltd,"£81,628.00"
Manchester City Council,1003,Environment and Operations,Construction Works,23/12/2024,5105967877,Rosgal Ltd,"£80,925.90"
Manchester City Council,1007,Corporate Services,Internal Repairs and Maintenance for buildings,23/12/2024,5105966110,EQUANS Services Limited,"£80,900.00"
Manchester City Council,1000,Manchester Leisure,Rents,02/01/2025,5105968034,Accommodation Links Ltd,"£80,882.71"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,19/12/2024,5105967070,Rigg-Tech Ltd,"£80,879.92"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,06/12/2024,5105964244,Citizens Advice Manchester,"£79,983.00"
Manchester City Council,1006,Childrens Services,Building Works,12/12/2024,5105965441,United Learning Trust,"£79,685.00"
Manchester City Council,1003,Environment and Operations,Building Works,23/12/2024,5105966624,Boxyard Ltd,"£78,021.58"
Manchester City Council,1000,Manchester Leisure,Rents,19/12/2024,5105967038,Accommodation Links Ltd,"£78,010.14"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,11/12/2024,1908669896,HC-One No.1 Limited,"£77,748.00"
Manchester City Council,1011,Chief Executives,Construction Works,16/12/2024,5105964726,Rosgal Ltd,"£76,956.07"
Manchester City Council,1007,Corporate Services,I T Provision,02/01/2025,5105965208,Insight Direct (Uk) Ltd,"£76,229.40"
Manchester City Council,1007,Corporate Services,Preventative Maintenance Work,16/12/2024,5105964798,EQUANS Services Limited,"£75,713.01"
Manchester City Council,1011,Chief Executives,Vehicle Plant Furniture and Equipment,07/01/2025,5105964195,XMA Limited,"£74,999.10"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,13/01/2025,5105967179,Redgate Holdings Ltd,"£74,541.40"
Manchester City Council,1005,Adult Social Care,Extra Care Sheltd HP,16/12/2024,1908673728,Chrysalis Home Care Group Ltd,"£74,060.00"
Manchester City Council,1000,Manchester Leisure,Disposables,13/01/2025,5105967176,Redgate Holdings Ltd,"£73,914.40"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,17/12/2024,5105966352,J Greenwood (Builders) Limited,"£73,867.35"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,17/12/2024,5105966471,Music Stuff,"£73,567.06"
Manchester City Council,1010,Housing Revenue Account,TMO Fees,23/12/2024,1908679218,Avro Hallows TMO Ltd,"£73,066.83"
Manchester City Council,1003,Environment and Operations,Construction Works,20/12/2024,5105965445,Dowhigh Ltd,"£71,161.48"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,10/12/2024,5105964951,Purcell Architecture Limited,"£70,875.00"
Manchester City Council,1004,Childrens & Education Services,Professional fees,16/12/2024,5105965346,Welfare Call (LAC) Ltd,"£70,625.20"
Manchester City Council,1004,Childrens & Education Services,Supported Accommodation,05/12/2024,5105964254,Mosscare Housing Ltd,"£70,250.83"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,10/01/2025,5105964305,Divrse Ltd,"£69,529.28"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,20/12/2024,5105965315,EQUANS Regeneration Limited,"£69,510.74"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,23/12/2024,5105966107,EQUANS Regeneration Limited,"£69,510.74"
Manchester City Council,1003,Environment and Operations,Construction Works,02/01/2025,5105967441,A.E Yates Ltd,"£68,840.27"
Manchester City Council,1000,Manchester Leisure,Rents,18/12/2024,5105966829,Devon Homes,"£68,583.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,17/12/2024,5105966418,Schofield and Sons Limited,"£68,365.07"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,19/12/2024,5105967131,VoiceAbility,"£68,304.17"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,13/12/2024,5105966102,Rothwell Plumbing Services Ltd,"£68,147.54"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,19/12/2024,5105965201,Biffa Municipal Limited,"£67,744.89"
Manchester City Council,1002,Hospitality + Trading Services,Vehicle Hire Costs,19/12/2024,5105967158,Winners Contract Hire Ltd,"£67,350.40"
Manchester City Council,1024,General Fund,Levies,30/12/2024,1908436753,Environment Agency,"£67,281.89"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,09/12/2024,1908666963,Holden Knight Healthcare Temp Ltd,"£67,167.90"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,09/12/2024,1908666962,Holden Knight Healthcare Temp Ltd,"£67,167.60"
Manchester City Council,1005,Adult Social Care,Home Care ,17/12/2024,1908675593,Rainbow Personnel Ltd,"£66,919.17"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,24/12/2024,1908684405,Standwalk Ltd,"£66,690.72"
Manchester City Council,1000,Manchester Leisure,Special Event,06/12/2024,5105964531,Greenwich Leisure Limited,"£65,571.47"
Manchester City Council,1007,Corporate Services,Gas,12/12/2024,1908671194,M\cr Heat Network Supply Co Ltd,"£65,003.69"
Manchester City Council,1004,Childrens & Education Services,Subsistence and Conference Expenses,16/12/2024,5105964610,Career Connect,"£64,489.11"
Manchester City Council,1000,Manchester Leisure,Tipping - Skips,13/01/2025,5105967168,Redgate Holdings Ltd,"£64,447.20"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679691,Silverdene Residential Home Ltd,"£62,487.20"
Manchester City Council,1000,Manchester Leisure,Security,12/12/2024,5105964529,G4S Secure Solutions (UK) Ltd,"£62,265.65"
Manchester City Council,1000,Manchester Leisure,Rents,16/12/2024,5105966303,Accommodation Links Ltd,"£61,481.14"
Manchester City Council,1007,Corporate Services,I T Provision,10/12/2024,5105963985,EPI-USE Labs Ltd,"£60,410.77"
Manchester City Council,,Not assigned,Refund AR overpaids,18/12/2024,1908676684,Mulbury Homes (Central) Ltd,"£60,178.42"
Manchester City Council,1011,Chief Executives,Grant and subscriptions awarded,19/12/2024,1908679231,Beyond the Music Ltd,"£60,000.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,09/12/2024,1908666964,Holden Knight Healthcare Temp Ltd,"£59,572.20"
Manchester City Council,1000,Manchester Leisure,Electricity,12/12/2024,1908671142,Haven Power Ltd,"£59,460.61"
Manchester City Council,1000,Manchester Leisure,Bed & Breakfast Acc,13/12/2024,5105966073,IP Housing,"£59,356.75"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,10/12/2024,5105964935,Mace Ltd,"£58,838.38"
Manchester City Council,1003,Environment and Operations,Construction Works,02/01/2025,5105967331,Dowhigh Ltd,"£58,740.87"
