Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,21/02/2025,5105976683,EQUANS Regeneration Limited,"£229,414.65"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,11/02/2025,5105975354,Turner & Townsend Cost,"£228,468.93"
Manchester City Council,1007,Corporate Services,Rents,20/02/2025,1908729828,Knight Frank LLP,"£220,382.00"
Manchester City Council,1000,Manchester Leisure,Rents,14/02/2025,5105976200,Mack Residential Letting Ltd,"£220,165.28"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,24/02/2025,5105976699,EQUANS Regeneration Limited,"£217,435.01"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,19/02/2025,5105976663,Purcell Architecture Limited,"£213,007.34"
Manchester City Council,1010,Housing Revenue Account,CD - Acquisition,19/02/2025,1908737393,Scott Hyman & Co,"£205,000.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,24/02/2025,5105976911,Warden Construction Ltd,"£204,622.52"
Manchester City Council,1001,Libraries and Theatres,Works and associated costs for Land and Buildings,24/02/2025,5105976185,Robertson CE Limited,"£199,372.42"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,14/02/2025,5105976178,Thompsons Academy LTD,"£192,012.09"
Manchester City Council,1007,Corporate Services,Elec Car Lease,10/02/2025,1908725910,Northumbria Healthcare NHS FT,"£186,555.23"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,11/02/2025,5105975230,Purcell Architecture Limited,"£181,375.65"
Manchester City Council,1006,Childrens Services,Building Works,19/02/2025,5105976661,The East Manchester Academy,"£180,925.90"
Manchester City Council,1000,Manchester Leisure,Payments for services,28/02/2025,5105977537,Salford City Council,"£178,010.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,06/02/2025,5105974410,Navigators College,"£177,271.32"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,12/02/2025,5105975663,Redacted Personal Information,"£175,573.56"
Manchester City Council,1012,Regeneration Finance,Professional fees,28/02/2025,5105974512,Studio Egret West Limited,"£175,000.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,26/02/2025,5105977730,The Together Trust,"£171,750.87"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,11/02/2025,5105975090,Bowmer & Kirkland Ltd,"£170,674.18"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,12/02/2025,1908729903,H M Revenues and Customs,"£164,500.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,12/02/2025,5105975673,Westfield Minibuses,"£163,073.50"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,28/02/2025,5105977608,EQUANS Regeneration Limited,"£162,985.64"
Manchester City Council,1013,Highways Services,Payments to Sub-Contractors,10/02/2025,5105975029,Rosgal Ltd,"£160,391.44"
Manchester City Council,1010,Housing Revenue Account,Professional fees,11/02/2025,1908727173,BBS Law Ltd,"£159,780.00"
Manchester City Council,1000,Manchester Leisure,Rents,26/02/2025,5105977639,Manchester Bumblebee Ltd,"£149,352.14"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,11/02/2025,5105975433,Rothwell Plumbing Services Ltd,"£148,952.28"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,28/02/2025,5105976583,Family Action,"£147,827.22"
Manchester City Council,1003,Environment and Operations,Construction Works,28/02/2025,5105976923,J.Hopkins (Contractors) Ltd.,"£146,899.73"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,25/02/2025,5105977457,EQUANS Regeneration Limited,"£143,571.77"
Manchester City Council,1013,Highways Services,Payments to Sub-Contractors,13/02/2025,5105975030,Rosgal Ltd,"£142,201.47"
